Time,Original,True_Trend,True_Noise,Drift_Conditional,Martingale_Conditional,Drift_Exp,Martingale_Exp
0,10.74507122951685,10.0,0.745071229516849,0.0,10.74507122951685,10.74507122951685,0.0
1,11.38768852011796,10.05,-0.20739645175677698,10.74507122951685,0.6426172906011107,10.74507122951685,0.6426172906011107
2,14.010459068613404,10.1,0.9715328071510387,11.066379874817404,2.944079193796,10.873594687637071,3.1368643809763324
3,16.479629756486776,10.15,2.284544784612038,12.047739606082738,4.431890150404039,11.500967563832338,4.978662192654438
4,14.604052519390763,10.2,-0.35123006208500396,13.155712143683747,1.4483403757070157,12.496700002363227,2.107352517027536
5,14.89879456457623,10.25,-0.3512054354237708,13.44538021882515,1.4534143457510798,12.918170505768735,1.9806240588074946
6,17.424101804736857,10.3,2.368819223261087,13.687615943116997,3.73648586161986,13.314295317530235,4.1098064872066224
7,15.546237065604101,10.35,1.1511520937293631,14.22139963763412,1.3248374279699817,14.136256614971561,1.4099804506325402
8,12.634714682559938,10.4,-0.7042115789024281,14.387004316130367,-1.7522896335704292,14.418252705098071,-1.7835380225381332
9,12.808925037253685,10.45,0.813840065378947,14.192305467955874,-1.3833804307021893,14.061545100590445,-1.2526200633367601
10,9.804873460781307,10.5,-0.6951265392186934,14.053967424885656,-4.249093964104349,13.811021087923095,-4.006147627141788
11,8.30632039776988,10.55,-0.6985946303553853,13.9599476480121,-5.65362725024222,13.009791562494739,-4.703471164724858
12,8.024017145886686,10.6,0.3629434073490512,13.651810835777292,-5.627793689890606,12.069097329549768,-4.045080183663082
13,3.7349946611385674,10.65,-2.8699203669866966,13.053166643504621,-9.318171982366053,11.260081292817153,-7.525086631678586
14,3.3573406697546826,10.7,-2.5873767487695494,11.778703133969803,-8.42136246421512,9.755063966481437,-6.397723296726754
15,4.9065687061385415,10.75,-0.843431293861459,10.654031949006194,-5.747463242867653,8.475519307136086,-3.5689506009975442
16,4.525470738022596,10.8,-1.5192466805016358,9.654809363162425,-5.1293386251398285,7.761729186936577,-3.236258448913981
17,7.276286027018172,10.85,0.4713709988929108,8.364946256490999,-1.0886602294728265,7.114477497153782,0.16180852986439032
18,6.599037625255817,10.9,-1.3620361132818164,7.537951152632405,-0.9389135273765881,7.14683920312666,-0.5478015778708434
19,7.2864594761223245,10.95,-2.118455552002937,6.934383446901994,0.35207602922033043,7.037278887552492,0.24918058856983283
20,13.198473153382329,11.0,2.198473153382331,6.382136890788858,6.816336262593471,7.087115005266458,6.111358148115871
